"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Keaton Wallace","Atl","*","G","27","45","10.5","15.3","13.7","14","0.643","59","0.424","86","0.395","0.524","0.533","3.6","1.1","1.8","0.5","0.1","0.5","4.6","5.4","6.5","7.3","111","110.8"
"","Clint Capela","Hou","*","C","31.8","58","12.1","13.5","13.8","54","0.63","174","0.5","0","0","0.5","0.526","3.6","4.6","0.6","0.5","0.8","0.5","8.1","4.2","8.8","7.1","122.9","106.7"
"","A.J. Lawson","Tor","*","G","25.7","14","7.9","19.1","8.8","9","1","19","0.421","22","0.364","0.488","0.545","3.5","1.6","0.2","0.3","0.2","0.3","5.1","3.7","5.4","5.3","112.3","101.6"
"","Drew Timme","Lal","*","F","25.5","20","8.8","14.7","12.4","7","0.571","31","0.677","18","0.444","0.673","0.672","3.5","1.3","0.8","0.3","0","0.4","4.8","4.3","5.6","7","130.4","113.6"
"","Charles Bassey","Mem","","C-F","25.4","2","15.3","14","10.9","3","0.333","8","0.375","0","0","0.375","0.376","3.5","7.5","1","0.5","0.5","0.5","11","4.5","12","7.8","112.2","98.8"
"","Rob Dillingham","Min","","G","21.2","35","9.3","24.1","20.3","20","0.75","108","0.324","33","0.364","0.376","0.404","3.5","1.2","1.7","0.5","0.1","1","4.6","5.1","6.3","8.3","84.8","105.2"
"","Taelon Peter","Ind","*","G","24","28","10.7","16.6","15","10","0.5","11","0.636","85","0.306","0.479","0.483","3.5","1.3","1.1","0.5","0.1","0.6","4.8","4.5","5.8","6.4","95.2","114.9"
"","Dalen Terry","Chi","","F","23.7","34","11.1","14.6","17","17","0.529","56","0.464","46","0.413","0.534","0.539","3.5","1.9","1.3","0.6","0.3","0.6","5.4","4.7","6.6","7.4","109.2","110.8"
"","Christian Koloko","Atl","*","C","25.7","9","12.2","12.8","15.9","6","1","22","0.5","4","0.25","0.481","0.541","3.4","2.9","0.4","0.3","0.9","0.6","6.3","3.9","6.8","5.2","111.4","98.6"
"","Rasheer Fleming","Pho","*","F","21.7","39","9.3","16.7","9.5","17","0.588","48","0.5","75","0.333","0.5","0.51","3.4","1.9","0.2","0.3","0.2","0.3","5.3","3.6","5.5","4.7","111.1","110.2"
